OID,COUNT,FOR_TEN,FOR_CATEGO,FOREST,STATE,FOR_BURNS,FOR_BURN_T
36762,1,PRIV,Native forest,1,Vic,2,Planned and Unplanned burns
36763,42,MUF,Other forest,1,Vic,1,Unplanned burns only
36764,20,NCR,Native forest,1,Vic,1,Unplanned burns only
36765,20,NCR,Native forest,1,Vic,1,Unplanned burns only
36766,4,OCL,Native forest,1,Vic,0,Forest not burnt
36767,25,OCL,Native forest,1,Vic,0,Forest not burnt
36768,22,OCL,Native forest,1,Vic,0,Forest not burnt
36769,12,OCL,Native forest,1,Vic,0,Forest not burnt
36770,4,OCL,Native forest,1,Vic,0,Forest not burnt
36771,1,OCL,Native forest,1,Vic,0,Forest not burnt
36772,55,MUF,Native forest,1,Vic,2,Planned burns only
36773,1,PRIV,Other forest,1,Vic,1,Unplanned burns only
36774,6,PRIV,Native forest,1,Vic,0,Forest not burnt
36775,5,NCR,Native forest,1,Vic,1,Planned burns only
36776,3,NCR,Other forest,1,Vic,1,Unplanned burns only
36777,1,PRIV,Native forest,1,Vic,1,Unplanned burns only
36778,1,NCR,Other forest,1,Vic,1,Planned burns only
36779,2,OCL,Native forest,1,Vic,1,Planned burns only
36780,16,OCL,Native forest,1,Vic,0,Forest not burnt
36781,29,OCL,Native forest,1,Vic,0,Forest not burnt
36782,1,MUF,Native forest,1,Vic,2,Planned burns only
36783,29,MUF,Native forest,1,Vic,0,Forest not burnt
36784,10,NCR,Native forest,1,Vic,2,Planned burns only
36785,1,PRIV,Native forest,1,Vic,2,Planned burns only
36786,2,PRIV,Native forest,1,Vic,2,Planned burns only
36787,2,MUF,Native forest,1,Vic,2,Planned burns only
36788,1,NCR,Native forest,1,Vic,2,Planned burns only
36789,4,OCL,Native forest,1,Vic,1,Planned burns only
36790,2,OCL,Native forest,1,Vic,1,Planned burns only
36791,37,MUF,Native forest,1,Vic,2,Planned burns only
36792,5,MUF,Native forest,1,Vic,2,Planned burns only
36793,4,PRIV,Commercial plantation,1,Vic,1,Unplanned burns only
36794,9,MUF,Native forest,1,Vic,2,Planned burns only
36795,2,NCR,Native forest,1,Vic,1,Planned burns only
36796,1,OCL,Other forest,1,Vic,0,Forest not burnt
36797,4,OCL,Native forest,1,Vic,1,Planned burns only
36798,1,OCL,Native forest,1,Vic,2,Planned burns only
36799,31,MUF,Native forest,1,Vic,0,Forest not burnt
36800,1,NCR,Native forest,1,Vic,0,Forest not burnt
36801,5,NCR,Native forest,1,Vic,0,Forest not burnt
36802,12,PRIV,Native forest,1,Vic,0,Forest not burnt
36803,5,OCL,Native forest,1,Vic,0,Forest not burnt
36804,6,NCR,Native forest,1,Vic,1,Unplanned burns only
36805,2,PRIV,Native forest,1,Vic,1,Unplanned burns only
36806,1,PRIV,Native forest,1,Vic,1,Planned burns only
36807,25,MUF,Other forest,1,Vic,1,Unplanned burns only
36808,1,PRIV,Native forest,1,Vic,1,Planned burns only
36809,6,NCR,Native forest,1,Vic,1,Planned burns only
36810,8,OCL,Native forest,1,Vic,0,Forest not burnt
36811,3,MUF,Native forest,1,Vic,1,Unplanned burns only
36812,2,NCR,Native forest,1,Vic,1,Planned burns only
36813,1,MUF,Native forest,1,Vic,0,Forest not burnt
36814,1,LEASE,Native forest,1,Vic,0,Forest not burnt
36815,2,NCR,Native forest,1,Vic,1,Planned burns only
36816,1,OCL,Other forest,1,Vic,0,Forest not burnt
36817,7,MUF,Native forest,1,Vic,0,Forest not burnt
36818,2,PRIV,Native forest,1,Vic,0,Forest not burnt
36819,1,OCL,Native forest,1,Vic,0,Forest not burnt
36820,5,PRIV,Native forest,1,Vic,0,Forest not burnt
36821,41,NCR,Native forest,1,Vic,1,Planned burns only
36822,13,NCR,Native forest,1,Vic,1,Planned burns only
36823,2,NCR,Native forest,1,Vic,1,Planned burns only
36824,3,NCR,Native forest,1,Vic,1,Planned burns only
